experiment	timestamp	score	best_score	kept	mutations	elapsed_sec	params
11	2026-03-29T11:36:15.952601	71.5426	75.6981	False	max_df: 275 -> 350; norm: l2 -> l1	3.5	{"min_df": 2, "max_df": 350, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
12	2026-03-29T11:36:19.504992	67.3644	75.6981	False	min_df: 2 -> 1	3.6	{"min_df": 1, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
13	2026-03-29T11:36:23.109736	75.8094	75.8094	True	min_token_length: 3 -> 2	3.6	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
14	2026-03-29T11:36:26.707670	75.6415	75.8094	False	edge_weight_method: min -> harmonic_mean; max_features: 50000 -> 40000	3.6	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 40000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "harmonic_mean", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
15	2026-03-29T11:36:30.305941	75.6354	75.8094	False	max_edges_per_verse: 12 -> 14	3.6	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 14, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
16	2026-03-29T11:36:33.419514	71.4950	75.8094	False	norm: l2 -> l1	3.1	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
17	2026-03-29T11:36:36.969476	75.6415	75.8094	False	edge_weight_method: min -> harmonic_mean	3.5	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "harmonic_mean", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
18	2026-03-29T11:36:40.419517	75.2207	75.8094	False	min_token_length: 2 -> 4	3.4	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 4, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
19	2026-03-29T11:36:44.124202	75.8094	75.8094	False	max_verse_freq: 300 -> 275	3.7	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 275, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
20	2026-03-29T11:36:48.094664	73.7357	75.8094	False	sublinear_tf: False -> True; min_token_length: 2 -> 2; max_edges_per_verse: 12 -> 18	4.0	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 18, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": true, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
21	2026-03-29T11:36:51.522445	75.7374	75.8094	False	max_verse_freq: 300 -> 250; ngram_max: 1 -> 2; min_token_length: 2 -> 3	3.4	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 250, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 2, "norm": "l2"}
22	2026-03-29T11:36:55.192058	75.8094	75.8094	False	min_tfidf_score: 0.04 -> 0.0262	3.7	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.0262, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
23	2026-03-29T11:36:58.928940	75.2214	75.8094	False	max_df: 275 -> 325; min_token_length: 2 -> 4; ngram_max: 1 -> 1	3.7	{"min_df": 2, "max_df": 325, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 4, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
24	2026-03-29T11:37:02.298201	75.2207	75.8094	False	min_token_length: 2 -> 4	3.4	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 4, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
25	2026-03-29T11:37:05.863230	75.8094	75.8094	False	min_tfidf_score: 0.04 -> 0.0544; max_features: 50000 -> 55000	3.6	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.0544, "max_features": 55000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
26	2026-03-29T11:37:09.511412	75.8094	75.8094	False	min_tfidf_score: 0.04 -> 0.0438	3.6	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.0438, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
27	2026-03-29T11:37:12.822525	75.8094	75.8094	False	ngram_max: 1 -> 2	3.3	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 2, "norm": "l2"}
28	2026-03-29T11:37:16.003764	75.8094	75.8094	False	min_tfidf_score: 0.04 -> 0.0456	3.2	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.0456, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
29	2026-03-29T11:37:18.962522	71.8563	75.8094	False	norm: l2 -> l1; min_tfidf_score: 0.04 -> 0.034	3.0	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.034, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
30	2026-03-29T11:37:21.919906	75.1723	75.8094	False	sublinear_tf: False -> True; lemma_verb_first: True -> False; min_token_length: 2 -> 4	3.0	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 4, "lemma_verb_first": false, "sublinear_tf": true, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
31	2026-03-29T11:37:24.716420	70.8032	75.8094	False	norm: l2 -> l1; max_edges_per_verse: 12 -> 10	2.8	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 10, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
32	2026-03-29T11:37:28.029644	75.7448	75.8094	False	lemma_verb_first: True -> False	3.3	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": false, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
33	2026-03-29T11:37:31.291893	75.4070	75.8094	False	min_tfidf_score: 0.04 -> 0.0514; max_verse_freq: 300 -> 375; sublinear_tf: False -> True	3.3	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.0514, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 375, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": true, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
34	2026-03-29T11:37:34.116390	71.4950	75.8094	False	norm: l2 -> l1	2.8	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
35	2026-03-29T11:37:37.092359	75.8303	75.8303	True	edge_weight_method: min -> geometric_mean; max_verse_freq: 300 -> 225	3.0	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "geometric_mean", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
36	2026-03-29T11:37:39.949993	75.6543	75.8303	False	ngram_max: 1 -> 1; min_token_length: 2 -> 3	2.9	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "geometric_mean", "extra_stopwords": [], "min_token_length": 3, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
37	2026-03-29T11:37:42.927848	67.5112	75.8303	False	min_df: 2 -> 1	3.0	{"min_df": 1, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "geometric_mean", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
38	2026-03-29T11:37:45.863075	75.8006	75.8303	False	lemma_verb_first: True -> False	2.9	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "geometric_mean", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": false, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
39	2026-03-29T11:37:48.864316	75.8306	75.8306	True	edge_weight_method: geometric_mean -> min	3.0	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
40	2026-03-29T11:37:51.679337	71.1896	75.8306	False	sublinear_tf: False -> True; norm: l2 -> l1	2.8	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": true, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
41	2026-03-29T11:37:54.554631	71.4062	75.8306	False	norm: l2 -> l1; max_features: 50000 -> 35000	2.9	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 35000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
42	2026-03-29T11:37:57.573677	67.5127	75.8306	False	min_df: 2 -> 1	3.0	{"min_df": 1, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
43	2026-03-29T11:38:00.865858	75.6354	75.8306	False	max_verse_freq: 225 -> 300; max_features: 50000 -> 65000; max_edges_per_verse: 12 -> 14	3.3	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 65000, "max_edges_per_verse": 14, "max_verse_freq": 300, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
44	2026-03-29T11:38:03.871797	64.6316	75.8306	False	min_df: 2 -> 5; norm: l2 -> l1; max_features: 50000 -> 55000	3.0	{"min_df": 5, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 55000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
45	2026-03-29T11:38:07.020799	75.4138	75.8306	False	sublinear_tf: False -> True	3.1	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": true, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
46	2026-03-29T11:38:10.266886	74.1604	75.8306	False	lemma_verb_first: True -> False; max_edges_per_verse: 12 -> 10	3.2	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 10, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": false, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
47	2026-03-29T11:38:13.263065	75.1442	75.8306	False	min_tfidf_score: 0.04 -> 0.0435; min_token_length: 2 -> 4	3.0	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.0435, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 4, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
48	2026-03-29T11:38:16.019442	71.4062	75.8306	False	norm: l2 -> l1; ngram_max: 1 -> 2	2.8	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 2, "norm": "l1"}
49	2026-03-29T11:38:18.970860	75.8306	75.8306	False	max_features: 50000 -> 55000	2.9	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 55000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
50	2026-03-29T11:38:21.918341	71.4062	75.8306	False	norm: l2 -> l1	2.9	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
51	2026-03-29T11:38:24.683358	75.8303	75.8306	False	edge_weight_method: min -> geometric_mean	2.8	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "geometric_mean", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
52	2026-03-29T11:38:27.650821	75.0490	75.8306	False	max_edges_per_verse: 12 -> 16; max_df: 275 -> 225	3.0	{"min_df": 2, "max_df": 225, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 16, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
53	2026-03-29T11:38:30.658465	75.7298	75.8306	False	lemma_verb_first: True -> False	3.0	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": false, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
54	2026-03-29T11:38:33.457923	71.1896	75.8306	False	sublinear_tf: False -> True; norm: l2 -> l1; min_token_length: 2 -> 2	2.8	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": true, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
55	2026-03-29T11:38:36.468964	75.1442	75.8306	False	min_token_length: 2 -> 4	3.0	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 4, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
56	2026-03-29T11:38:39.649471	73.6509	75.8306	False	max_edges_per_verse: 12 -> 18	3.2	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 18, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
57	2026-03-29T11:38:42.599987	75.8306	75.8306	False	min_tfidf_score: 0.04 -> 0.0548	2.9	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.0548, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
58	2026-03-29T11:38:45.515757	75.6471	75.8306	False	edge_weight_method: min -> harmonic_mean	2.9	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "harmonic_mean", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
59	2026-03-29T11:38:48.628816	75.7298	75.8306	False	lemma_verb_first: True -> False	3.1	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": false, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
60	2026-03-29T11:38:51.197923	75.7289	75.8306	False	max_df: 275 -> 350; max_verse_freq: 225 -> 175	2.6	{"min_df": 2, "max_df": 350, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 175, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
61	2026-03-29T11:38:54.183065	68.3211	75.8306	False	min_tfidf_score: 0.04 -> 0.0312; lemma_verb_first: True -> False; min_df: 2 -> 5	3.0	{"min_df": 5, "max_df": 275, "min_tfidf_score": 0.0312, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": false, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
62	2026-03-29T11:38:56.900999	75.6541	75.8306	False	max_verse_freq: 225 -> 175	2.7	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 175, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
63	2026-03-29T11:38:59.816764	63.6543	75.8306	False	sublinear_tf: False -> True; min_df: 2 -> 4; max_edges_per_verse: 12 -> 6	2.9	{"min_df": 4, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 6, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": true, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
64	2026-03-29T11:39:02.852726	71.4062	75.8306	False	norm: l2 -> l1	3.0	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": false, "ngram_min": 1, "ngram_max": 1, "norm": "l1"}
65	2026-03-29T11:39:05.883672	75.4138	75.8306	False	sublinear_tf: False -> True	3.0	{"min_df": 2, "max_df": 275, "min_tfidf_score": 0.04, "max_features": 50000, "max_edges_per_verse": 12, "max_verse_freq": 225, "edge_weight_method": "min", "extra_stopwords": [], "min_token_length": 2, "lemma_verb_first": true, "sublinear_tf": true, "ngram_min": 1, "ngram_max": 1, "norm": "l2"}
